ts_ns,exchange,feed,source_engine_ts_ns,source_system_ts_ns,price,direction,event_type,client_order_id,side,size,reference_source,reference_ts_ns,reference_price,quote_internal_us,cancel_internal_us,quote_external_us,cancel_external_us,sent_ts_ns
1760671602492262601,gate,bbo,1760671602491000000,1760671602491000000,0.09847500,,market,,,,,,,,,,,
1760671602499797855,bybit,orderbook,1760671602462000000,1760671602464000000,0.09847810,,market,,,,,,,,,,,
1760671602508891955,binance,bbo,1760671602507000000,1760671602507000000,0.09848023,,market,,,,,,,,,,,
1760671602506144413,gate,bbo,1760671602505000000,1760671602505000000,0.09847000,,market,,,,,,,,,,,
1760671602508622672,bitget,orderbook,1760671602504000000,1760671602505000000,0.09853363,,market,,,,,,,,,,,
1760671602519865410,bybit,orderbook,1760671602483000000,1760671602484000000,0.09847779,,market,,,,,,,,,,,
1760671602529800961,bybit,bbo,1760671602490000000,1760671602494000000,0.09848279,,market,,,,,,,,,,,
1760671602531566780,binance,bbo,1760671602530000000,1760671602530000000,0.09848008,,market,,,,,,,,,,,
1760671602527454228,gate,bbo,1760671602526000000,1760671602527000000,0.09846500,,market,,,,,,,,,,,
1760671602541572140,bybit,orderbook,1760671602502000000,1760671602505000000,0.09848761,,market,,,,,,,,,,,
1760671602550607617,bybit,bbo,1760671602511000000,1760671602515000000,0.09850261,,market,,,,,,,,,,,
1760671602539578664,binance,trade,1760671602384000000,1760671602538000000,0.09842090,buy,market,,,,,,,,,,,
1760671602540421610,gate,bbo,1760671602539000000,1760671602540000000,0.09847500,,market,,,,,,,,,,,
1760671602559877353,bybit,orderbook,1760671602520000000,1760671602524000000,0.09852261,,market,,,,,,,,,,,
1760671602569539092,bybit,bbo,1760671602533000000,1760671602534000000,0.09851761,,market,,,,,,,,,,,
1760671602574461402,bybit,trade,1760671602536000000,1760671602538000000,0.09851261,sell,market,,,,,,,,,,,
1760671602573638216,bitget,orderbook,1760671602569000000,1760671602505000000,0.09851691,,market,,,,,,,,,,,
1760671602573638216,bitget,bbo,1760671602569000000,1760671602571000000,0.09851291,,market,,,,,,,,,,,
1760671602580151931,bybit,orderbook,1760671602542000000,1760671602544000000,0.09849761,,market,,,,,,,,,,,
1760671602589785495,bybit,bbo,1760671602553000000,1760671602554000000,0.09849261,,market,,,,,,,,,,,
1760671602589720030,binance,bbo,1760671602588000000,1760671602588000000,0.09848090,,market,,,,,,,,,,,
1760671602599923302,bybit,orderbook,1760671602562000000,1760671602564000000,0.09848641,,market,,,,,,,,,,,
1760671602599920829,bybit,bbo,1760671602562000000,1760671602564000000,0.09848641,,market,,,,,,,,,,,
1760671602600707530,binance,bbo,1760671602599000000,1760671602599000000,0.09847543,,market,,,,,,,,,,,
1760671602614427944,gate,bbo,1760671602613000000,1760671602614000000,0.09845500,,market,,,,,,,,,,,
1760671602620025495,bybit,orderbook,1760671602578000000,1760671602584000000,0.09848641,,market,,,,,,,,,,,
1760671602640190687,bybit,orderbook,1760671602600000000,1760671602604000000,0.09848585,,market,,,,,,,,,,,
1760671602640465633,gate,bbo,1760671602639000000,1760671602640000000,0.09846000,,market,,,,,,,,,,,
1760671602659875506,bybit,orderbook,1760671602623000000,1760671602624000000,0.09848585,,market,,,,,,,,,,,
1760671602658404740,bitget,orderbook,1760671602655000000,1760671602656000000,0.09851491,,market,,,,,,,,,,,
1760671602679942940,bybit,orderbook,1760671602636000000,1760671602644000000,0.09848552,,market,,,,,,,,,,,
1760671602697252165,binance,bbo,1760671602696000000,1760671602696000000,0.09848493,,market,,,,,,,,,,,
1760671602695578149,binance,trade,1760671602693000000,1760671602695000000,0.09848993,buy,market,,,,,,,,,,,
1760671602696052110,gate,bbo,1760671602695000000,1760671602695000000,0.09847000,,market,,,,,,,,,,,
1760671602685141800,bitget,orderbook,1760671602681000000,1760671602656000000,0.09851438,,market,,,,,,,,,,,
1760671602685141800,bitget,bbo,1760671602681000000,1760671602681000000,0.09851038,,market,,,,,,,,,,,
1760671602700240232,bybit,orderbook,1760671602659000000,1760671602665000000,0.09848531,,market,,,,,,,,,,,
1760671602708575822,binance,bbo,1760671602706000000,1760671602707000000,0.09848972,,market,,,,,,,,,,,
1760671602714411674,gate,bbo,1760671602713000000,1760671602714000000,0.09847500,,market,,,,,,,,,,,
1760671602720285092,bybit,orderbook,1760671602679000000,1760671602685000000,0.09848520,,market,,,,,,,,,,,
1760671602731547641,gate,bbo,1760671602730000000,1760671602731000000,0.09848000,,market,,,,,,,,,,,
1760671602740048641,bybit,orderbook,1760671602698000000,1760671602704000000,0.09848510,,market,,,,,,,,,,,
1760671602756214403,gate,bbo,1760671602755000000,1760671602755000000,0.09848500,,market,,,,,,,,,,,
1760671602759668722,bybit,orderbook,1760671602719000000,1760671602724000000,0.09848510,,market,,,,,,,,,,,
1760671602769771206,bybit,bbo,1760671602732000000,1760671602734000000,0.09850510,,market,,,,,,,,,,,
1760671602779829059,bybit,orderbook,1760671602740000000,1760671602744000000,0.09850510,,market,,,,,,,,,,,
