ts_ns,exchange,feed,price,direction,event_type,client_order_id,side,size,reference_source,reference_ts_ns,reference_price,quote_internal_us,cancel_internal_us,quote_external_us,cancel_external_us,sent_ts_ns
1760021280082386000,bybit,orderbook,0.24374489,,market,,,,,,,,,,,
1760021280079000000,binance,bbo,0.24375649,,market,,,,,,,,,,,
1760021280089000000,gate,bbo,0.24372500,,market,,,,,,,,,,,
1760021280080548000,bitget,orderbook,0.24371880,,market,,,,,,,,,,,
1760021280101000000,bitget,bbo,0.24371880,,market,,,,,,,,,,,
1760021280101046000,bybit,orderbook,0.24374489,,market,,,,,,,,,,,
1760021280133000000,bybit,bbo,0.24374489,,market,,,,,,,,,,,
1760021280102000000,binance,bbo,0.24375649,,market,,,,,,,,,,,
1760021280098679000,bitget,orderbook,0.24371880,,market,,,,,,,,,,,
1760021280121000000,bitget,bbo,0.24371880,,market,,,,,,,,,,,
1760021280121581000,bybit,orderbook,0.24374489,,market,,,,,,,,,,,
1760021280163000000,bybit,bbo,0.24374489,,market,,,,,,,,,,,
1760021280131000000,binance,bbo,0.24375649,,market,,,,,,,,,,,
1760021280140989000,bybit,orderbook,0.24374489,,market,,,,,,,,,,,
1760021280173000000,bybit,bbo,0.24374489,,market,,,,,,,,,,,
1760021280140048000,bitget,orderbook,0.24371880,,market,,,,,,,,,,,
1760021280161000000,bitget,bbo,0.24371880,,market,,,,,,,,,,,
1760021280161756000,bybit,orderbook,0.24374489,,market,,,,,,,,,,,
1760021280175000000,binance,bbo,0.24375649,,market,,,,,,,,,,,
1760021280164294000,bitget,orderbook,0.24371880,,market,,,,,,,,,,,
1760021280186000000,bitget,bbo,0.24371880,,market,,,,,,,,,,,
1760021280182781000,bybit,orderbook,0.24374473,,market,,,,,,,,,,,
1760021280193000000,binance,bbo,0.24375622,,market,,,,,,,,,,,
1760021280194000000,gate,bbo,0.24372500,,market,,,,,,,,,,,
1760021280200145000,bybit,orderbook,0.24374464,,market,,,,,,,,,,,
1760021280233000000,bybit,bbo,0.24374464,,market,,,,,,,,,,,
1760021280209000000,binance,bbo,0.24375609,,market,,,,,,,,,,,
1760021280209000000,gate,bbo,0.24372500,,market,,,,,,,,,,,
1760021280221516000,bybit,orderbook,0.24374464,,market,,,,,,,,,,,
